Node,Location,Weather,DateTime,H2S,SO2,Humidity,Temperature,WindsSpeed
5,Goa,Hujan Kabut,12/22/2025 16:13:00,37,199,100,15.38,1.44
5,Goa,Hujan Kabut,12/22/2025 16:13:02,37,167,100,15.34,1.08
5,Goa,Hujan Kabut,12/22/2025 16:13:04,37,167,100,15.34,1.08
5,Goa,Hujan Kabut,12/22/2025 16:13:06,36,149,100,15.3,1.08
5,Goa,Hujan Kabut,12/22/2025 16:13:08,36,149,100,15.3,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:10,30,149,100,15.3,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:12,30,123,100,15.34,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:14,28,123,100,15.34,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:16,28,110,100,15.38,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:18,28,110,100,15.38,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:20,28,110,100,15.38,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:22,28,99,100,15.38,0.36
5,Goa,Hujan Kabut,12/22/2025 16:13:24,28,99,100,15.38,0.36
5,Goa,Hujan Kabut,12/22/2025 16:13:26,25,89,100,15.41,0.36
5,Goa,Hujan Kabut,12/22/2025 16:13:28,25,89,100,15.41,0.36
5,Goa,Hujan Kabut,12/22/2025 16:13:30,25,89,100,15.41,0
5,Goa,Hujan Kabut,12/22/2025 16:13:32,25,78,100,15.42,0
5,Goa,Hujan Kabut,12/22/2025 16:13:34,25,78,100,15.42,0
5,Goa,Hujan Kabut,12/22/2025 16:13:36,25,78,100,15.42,0
5,Goa,Hujan Kabut,12/22/2025 16:13:38,25,73,100,15.45,0.36
5,Goa,Hujan Kabut,12/22/2025 16:13:40,28,73,100,15.45,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:42,28,73,100,15.48,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:44,28,73,100,15.48,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:46,28,73,100,15.48,1.08
5,Goa,Hujan Kabut,12/22/2025 16:13:48,28,81,100,15.52,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:50,28,81,100,15.52,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:52,25,83,100,15.54,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:54,22,83,100,15.54,0.72
5,Goa,Hujan Kabut,12/22/2025 16:13:56,22,78,100,15.57,0.36
5,Goa,Hujan Kabut,12/22/2025 16:13:58,22,78,100,15.57,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:00,22,70,100,15.57,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:02,22,70,100,15.57,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:04,22,70,100,15.57,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:06,22,65,100,15.6,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:08,22,65,100,15.6,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:10,22,65,100,15.6,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:12,19,60,100,15.61,0.36
5,Goa,Hujan Kabut,12/22/2025 16:14:14,19,60,100,15.61,0.36
